population,annual_ceiling,uptake,redemption,service,admin,optional_help,infrastructure,devices,evaluation,projects,total,base_maximum,one_off,description
20000000,2400,0.75,0.75,27000000000.0000,1350000000.000000,300000000.000,500000000,100000000,100000000,250000000,29600000000.000000,48000000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
20000000,2400,0.75,1.0,36000000000.000,1800000000.00000,300000000.000,500000000,100000000,100000000,250000000,39050000000.00000,48000000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
20000000,2400,1,1,48000000000,2400000000.00,400000000.0,500000000,100000000,100000000,250000000,51750000000.00,48000000000,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
22467512,600,0.25,0.5,1685063400.000,84253170.00000,112337560.000,500000000,100000000,100000000,250000000,2831654130.00000,13480507200,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
22467512,600,0.25,0.75,2527595100.0000,126379755.000000,112337560.000,500000000,100000000,100000000,250000000,3716312415.000000,13480507200,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
22467512,600,0.25,1.0,3370126800.000,168506340.00000,112337560.000,500000000,100000000,100000000,250000000,4600970700.00000,13480507200,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
22467512,600,0.5,0.5,3370126800.00,168506340.0000,224675120.00,500000000,100000000,100000000,250000000,4713308260.0000,13480507200,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
22467512,600,0.5,0.75,5055190200.000,252759510.00000,224675120.00,500000000,100000000,100000000,250000000,6482624830.00000,13480507200,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
22467512,600,0.5,1.0,6740253600.00,337012680.0000,224675120.00,500000000,100000000,100000000,250000000,8251941400.0000,13480507200,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
22467512,600,0.75,0.5,5055190200.000,252759510.00000,337012680.000,500000000,100000000,100000000,250000000,6594962390.00000,13480507200,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
22467512,600,0.75,0.75,7582785300.0000,379139265.000000,337012680.000,500000000,100000000,100000000,250000000,9248937245.000000,13480507200,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
22467512,600,0.75,1.0,10110380400.000,505519020.00000,337012680.000,500000000,100000000,100000000,250000000,11902912100.00000,13480507200,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
22467512,600,1,1,13480507200,674025360.00,449350240.0,500000000,100000000,100000000,250000000,15553882800.00,13480507200,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
22467512,1200,0.25,0.5,3370126800.000,168506340.00000,112337560.000,500000000,100000000,100000000,250000000,4600970700.00000,26961014400,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
22467512,1200,0.25,0.75,5055190200.0000,252759510.000000,112337560.000,500000000,100000000,100000000,250000000,6370287270.000000,26961014400,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
22467512,1200,0.25,1.0,6740253600.000,337012680.00000,112337560.000,500000000,100000000,100000000,250000000,8139603840.00000,26961014400,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
22467512,1200,0.5,0.5,6740253600.00,337012680.0000,224675120.00,500000000,100000000,100000000,250000000,8251941400.0000,26961014400,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
22467512,1200,0.5,0.75,10110380400.000,505519020.00000,224675120.00,500000000,100000000,100000000,250000000,11790574540.00000,26961014400,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
22467512,1200,0.5,1.0,13480507200.00,674025360.0000,224675120.00,500000000,100000000,100000000,250000000,15329207680.0000,26961014400,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
22467512,1200,0.75,0.5,10110380400.000,505519020.00000,337012680.000,500000000,100000000,100000000,250000000,11902912100.00000,26961014400,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
22467512,1200,0.75,0.75,15165570600.0000,758278530.000000,337012680.000,500000000,100000000,100000000,250000000,17210861810.000000,26961014400,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
22467512,1200,0.75,1.0,20220760800.000,1011038040.00000,337012680.000,500000000,100000000,100000000,250000000,22518811520.00000,26961014400,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
22467512,1200,1,1,26961014400,1348050720.00,449350240.0,500000000,100000000,100000000,250000000,29708415360.00,26961014400,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
22467512,2400,0.25,0.5,6740253600.000,337012680.00000,112337560.000,500000000,100000000,100000000,250000000,8139603840.00000,53922028800,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
22467512,2400,0.25,0.75,10110380400.0000,505519020.000000,112337560.000,500000000,100000000,100000000,250000000,11678236980.000000,53922028800,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
22467512,2400,0.25,1.0,13480507200.000,674025360.00000,112337560.000,500000000,100000000,100000000,250000000,15216870120.00000,53922028800,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
22467512,2400,0.5,0.5,13480507200.00,674025360.0000,224675120.00,500000000,100000000,100000000,250000000,15329207680.0000,53922028800,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
22467512,2400,0.5,0.75,20220760800.000,1011038040.00000,224675120.00,500000000,100000000,100000000,250000000,22406473960.00000,53922028800,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
22467512,2400,0.5,1.0,26961014400.00,1348050720.0000,224675120.00,500000000,100000000,100000000,250000000,29483740240.0000,53922028800,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
22467512,2400,0.75,0.5,20220760800.000,1011038040.00000,337012680.000,500000000,100000000,100000000,250000000,22518811520.00000,53922028800,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
22467512,2400,0.75,0.75,30331141200.0000,1516557060.000000,337012680.000,500000000,100000000,100000000,250000000,33134710940.000000,53922028800,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
22467512,2400,0.75,1.0,40441521600.000,2022076080.00000,337012680.000,500000000,100000000,100000000,250000000,43750610360.00000,53922028800,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
22467512,2400,1,1,53922028800,2696101440.00,449350240.0,500000000,100000000,100000000,250000000,58017480480.00,53922028800,100000000,Illustrative annual AI package; excludes time reform and retained BAU expenditure
